date,temperature,humidity,pressure,wind_speed,precipitation,rain
2025-12-31,0.14893617021276598,0.4714285714285714,0.5384615384615397,0.5227272727272727,0.0,0
2026-01-01,0.26063829787234033,0.4,0.4796380090497716,0.17727272727272728,0.0,0
2026-01-02,0.425531914893617,0.42857142857142855,0.35294117647058765,0.20909090909090908,0.0,0
2026-01-03,0.34042553191489355,0.4714285714285714,0.32579185520361814,0.3409090909090909,0.0,0
2026-01-04,0.26063829787234033,0.5571428571428572,0.40271493212669746,0.36363636363636365,0.0,0
2026-01-05,0.38297872340425526,0.4,0.4434389140271491,0.25,0.0,0
2026-01-06,0.7074468085106383,0.07142857142857142,0.3800904977375571,0.04999999999999998,0.0,0
2026-01-07,0.9946808510638298,0.0,0.2443438914027149,0.3909090909090909,0.0,0
2026-01-08,1.0,0.07142857142857142,0.09954751131221452,0.2636363636363636,0.0,0
2026-01-09,0.526595744680851,0.5,0.063348416289592,0.45454545454545453,0.0,0
2026-01-10,0.2127659574468085,0.4714285714285714,0.4751131221719477,0.7909090909090909,0.0,0
2026-01-11,0.18617021276595744,0.5142857142857142,0.6832579185520349,0.4454545454545454,0.0,0
2026-01-12,0.24999999999999994,0.4857142857142857,0.5113122171945702,0.33636363636363636,0.0,0
2026-01-13,0.3191489361702127,0.5,0.3710407239818989,0.2863636363636363,0.0,0
2026-01-14,0.3563829787234042,0.5428571428571428,0.253393665158368,0.29090909090909095,0.0,0
2026-01-15,0.22872340425531917,0.6571428571428571,0.3846153846153862,0.7363636363636364,0.6,1
2026-01-16,0.2712765957446807,0.6428571428571429,0.36651583710406976,0.5454545454545454,0.0,0
2026-01-17,0.4308510638297871,0.4857142857142857,0.20361990950226327,0.2863636363636363,0.0,0
2026-01-18,0.7340425531914894,0.21428571428571427,0.08144796380090326,0.1227272727272727,0.0,0
2026-01-19,0.526595744680851,0.45714285714285713,0.10859728506787272,0.5409090909090909,0.0,0
2026-01-20,0.4574468085106382,0.5714285714285714,0.22171945701357454,0.5681818181818181,0.1,0
2026-01-21,0.25531914893617025,0.5714285714285714,0.3891402714932102,0.6909090909090909,0.0,0
2026-01-22,0.26595744680851063,0.34285714285714286,0.4841628959276007,0.36818181818181817,0.0,0
2026-01-23,0.6808510638297872,0.014285714285714285,0.2714932126696844,0.29090909090909095,0.0,0
2026-01-24,0.9574468085106381,0.0,0.0,0.5318181818181819,0.0,0
