date,temperature,humidity,pressure,wind_speed,precipitation,season_sin,season_cos,rain
2026-01-01,19.2,48,1014.3,8.3,0.0,0.0172133562,0.9998518392,0
2026-01-02,22.3,50,1011.5,9.0,0.0,0.0344216116,0.9994074007,0
2026-01-03,20.7,53,1010.9,11.9,0.0,0.0516196672,0.9986668163,0
2026-01-04,19.2,59,1012.6,12.4,0.0,0.0688024268,0.9976303053,0
2026-01-05,21.5,48,1013.5,9.9,0.0,0.0859647987,0.9962981749,0
2026-01-06,27.6,25,1012.1,5.5,0.0,0.1031016974,0.9946708199,0
2026-01-07,33.0,20,1009.1,13.0,0.0,0.1202080449,0.9927487225,0
2026-01-08,33.1,25,1005.9,10.2,0.0,0.1372787721,0.9905324521,0
2026-01-09,24.2,55,1005.1,14.4,0.0,0.1543088207,0.9880226657,0
2026-01-10,18.3,53,1014.2,21.8,0.0,0.1712931442,0.9852201068,0
2026-01-11,17.8,56,1018.8,14.2,0.0,0.1882267098,0.9821256059,0
2026-01-12,19.0,54,1015.0,11.8,0.0,0.2051044999,0.97874008,0
2026-01-13,20.3,55,1011.9,10.7,0.0,0.221921513,0.9750645323,0
2026-01-14,21.0,58,1009.3,10.8,0.0,0.238672766,0.9711000519,0
2026-01-15,18.6,66,1012.2,20.6,0.6,0.2553532951,0.9668478136,1
2026-01-16,19.4,65,1011.8,16.4,0.0,0.2719581575,0.9623090775,0
2026-01-17,22.4,54,1008.2,10.7,0.0,0.2884824329,0.9574851884,0
2026-01-18,28.1,35,1005.5,7.1,0.0,0.3049212247,0.9523775757,0
2026-01-19,24.2,52,1006.1,16.3,0.0,0.3212696617,0.9469877531,0
2026-01-20,22.9,60,1008.6,16.9,0.1,0.3375228996,0.9413173175,0
2026-01-21,19.1,60,1012.3,19.6,0.0,0.3536761222,0.9353679493,0
2026-01-22,19.3,44,1014.4,12.5,0.0,0.3697245429,0.9291414114,0
2026-01-23,27.1,21,1009.7,10.8,0.0,0.3856634062,0.9226395488,0
2026-01-24,32.3,20,1003.7,16.1,0.0,0.4014879892,0.9158642883,0
2026-01-25,27.2,39,1006.4,8.6,0.0,0.4171936026,0.9088176373,0
2026-01-26,32.6,25,1005.7,6.2,0.0,0.4327755926,0.9015016841,0
2026-01-27,33.1,24,1005.5,19.0,0.0,0.4482293417,0.8939185965,0
2026-01-28,24.9,51,1012.7,14.8,0.0,0.4635502709,0.8860706215,0
2026-01-29,28.1,37,1012.2,14.3,0.0,0.4787338401,0.8779600847,0
2026-01-30,31.2,33,1009.9,12.7,0.0,0.4937755502,0.8695893893,0
2026-01-31,25.0,52,1009.6,14.0,1.3,0.5086709439,0.8609610159,1
2026-02-01,18.7,53,1018.5,19.7,0.0,0.5234156074,0.8520775211,0
2026-02-02,18.8,39,1021.8,8.6,0.0,0.5380051715,0.8429415374,0
2026-02-03,23.6,24,1017.0,7.5,0.0,0.5524353132,0.8335557718,0
